Place,Temperature (9am),Temperature (12pm),Temperature (3pm),Temperature (6pm),Weather
New York,45,70,68,65,Sunny
New York,50,72,68,66,Partly Cloudy
New York,45,73,72,69,Rainy
Chicago,45,60,57,54,Sunny
Chicago,57,62,59,56,Partly Cloudy
Chicago,28,33,62,48,Rainy
Paris,48,47,54,43,Cloudy
Paris,70,79,75,72,Sunny
Paris,72,81,79,74,Rainy
London,64,68,66,63,Cloudy
London,66,70,68,64,Partly Cloudy
London,68,72,70,67,Rainy
Tokyo,72,77,75,72,Sunny
Tokyo,75,79,77,73,Partly Cloudy
Tokyo,77,81,79,75,Rainy
Alaska,10,11,20,27,Snowy
Alaska,14,55,60,32,Snowy
Alaska,22,32,35,12,Snowy 
